text,language
hey Khuli omundu mulayi man,Luhya
hey Hii manzi ni fiti,Sheng
Niko rada leo,Sheng
man Habari yako rafiki,Swahili
hey The weather is nice today man,English
man I am going home boss,English
man Habari yako rafiki boss,Swahili
bro Nimechill na boys bro,Sheng
hey Hii manzi ni fiti,Sheng
We are learning NLP,English
man We are learning NLP,English
yo Nahitaji msaada wako,Swahili
hey Let us meet tomorrow boss,English
man Naenda nyumbani,Swahili
Nimechoka leo boss,Swahili
Nimechoka leo man,Swahili
hey Hii life ni tricky boss,Sheng
Nimechoka leo,Swahili
hey Uko aje buda bro,Sheng
bro Nakhubona khulayi,Luhya
She likes reading books bro,English
He is my friend,English
bro The weather is nice today bro,English
hey Uko aje buda boss,Sheng
hey Khukhala bulayi boss,Luhya
man Ndi khwitsa eshikulu man,Luhya
bro Nakhubona khulayi man,Luhya
Wabula shani,Luhya
hey Habari yako rafiki bro,Swahili
Uko aje buda bro,Sheng
yo Naenda nyumbani man,Swahili
man Wabula shani,Luhya
bro The weather is nice today,English
Niko soko leo,Swahili
bro Habari yako rafiki bro,Swahili
man Tuko street vibaya bro,Sheng
man Hii manzi ni fiti bro,Sheng
hey Tuko street vibaya,Sheng
man Let us meet tomorrow,English
I am going home bro,English
Nakhubona khulayi,Luhya
Uko aje buda,Sheng
hey Khuli omundu mulayi,Luhya
hey Niko soko leo bro,Swahili
yo Naenda nyumbani boss,Swahili
man Habari yako rafiki,Swahili
bro Khukhala bulayi,Luhya
bro He is my friend man,English
man Khukhala bulayi,Luhya
man Khukhala bulayi,Luhya
Khukhala bulayi bro,Luhya
yo Ndi khwitsa eshikulu,Luhya
Ninakupenda sana boss,Swahili
bro I am going home bro,English
Ndi khwitsa eshikulu boss,Luhya
man The weather is nice today,English
yo Khuli omundu mulayi boss,Luhya
bro He is my friend,English
Nimechoka leo,Swahili
Nimechill na boys,Sheng
bro Leo ni siku nzuri boss,Swahili
hey He is my friend,English
The weather is nice today man,English
hey Nimechill na boys,Sheng
Khukhala bulayi boss,Luhya
man He is my friend man,English
man She likes reading books man,English
man Khuli omundu mulayi boss,Luhya
man This is a good day,English
Ninakupenda sana,Swahili
man Nakhubona khulayi,Luhya
yo Nimechoka leo,Swahili
Khukhala bulayi,Luhya
bro Hii life ni tricky man,Sheng
hey Khuli omundu mulayi man,Luhya
bro Let us meet tomorrow man,English
She likes reading books man,English
bro Ninakupenda sana bro,Swahili
hey Wacha tuende base man,Sheng
bro Khukhala bulayi man,Luhya
yo Hii life ni tricky boss,Sheng
yo Niko rada leo boss,Sheng
yo Nakhubona khulayi man,Luhya
man Hii manzi ni fiti,Sheng
Nimechoka leo bro,Swahili
We are learning NLP man,English
hey Naenda nyumbani,Swahili
hey Ndi khwitsa eshikulu man,Luhya
Niko soko leo bro,Swahili
Nimechill na boys,Sheng
yo Naenda nyumbani,Swahili
hey Leo ni siku nzuri boss,Swahili
hey Tutakutana kesho,Swahili
Ninakupenda sana man,Swahili
hey Khukhala bulayi,Luhya
Olaba otya boss,Luhya
man Wacha tuende base,Sheng
man The weather is nice today bro,English
bro Naenda nyumbani man,Swahili
Leo ni siku nzuri boss,Swahili
man Nimechill na boys man,Sheng
bro Khukhala bulayi boss,Luhya
bro Wacha tuende base bro,Sheng
bro I love programming bro,English
man Niko soko leo bro,Swahili
yo I love programming boss,English
man Wabula shani,Luhya
bro Naenda nyumbani boss,Swahili
hey Let us meet tomorrow bro,English
yo Hii manzi ni fiti,Sheng
Ninakupenda sana man,Swahili
Nakhubona khulayi,Luhya
yo He is my friend man,English
yo Basi manze relax,Sheng
bro Wacha tuende base,Sheng
yo Khukhala bulayi,Luhya
Hii life ni tricky bro,Sheng
hey Ninakupenda sana boss,Swahili
man Wabula shani boss,Luhya
bro This is a good day,English
yo Ndi khwitsa eshikulu man,Luhya
bro Khuli omundu mulayi,Luhya
Hii manzi ni fiti,Sheng
Hii life ni tricky,Sheng
man Habari yako rafiki bro,Swahili
man Niko soko leo,Swahili
man Basi manze relax,Sheng
man Nimechoka leo boss,Swahili
bro Nimechoka leo bro,Swahili
man Basi manze relax boss,Sheng
bro Olaba otya,Luhya
bro She likes reading books,English
man Basi manze relax boss,Sheng
man Olaba otya,Luhya
bro Olaba otya bro,Luhya
bro Ndi khwitsa eshikulu bro,Luhya
Ninakupenda sana man,Swahili
yo Habari yako rafiki boss,Swahili
hey Hii life ni tricky bro,Sheng
hey She likes reading books bro,English
man Hii manzi ni fiti boss,Sheng
man Habari yako rafiki bro,Swahili
hey Uko aje buda bro,Sheng
Olaba otya,Luhya
hey Khuli omundu mulayi boss,Luhya
Ndi khwitsa eshikulu man,Luhya
Nakhubona khulayi,Luhya
bro Habari yako rafiki boss,Swahili
yo Khukhala bulayi,Luhya
Nimechill na boys bro,Sheng
bro Nimechill na boys,Sheng
hey Leo ni siku nzuri,Swahili
Wacha tuende base,Sheng
Hii life ni tricky,Sheng
yo Ndi khwitsa eshikulu,Luhya
yo Habari yako rafiki boss,Swahili
yo Tuko street vibaya man,Sheng
hey Nimechoka leo man,Swahili
bro Nimechoka leo,Swahili
Khukhala bulayi bro,Luhya
Wabula shani,Luhya
Nakhubona khulayi,Luhya
bro Khukhala bulayi,Luhya
Naenda nyumbani,Swahili
hey The weather is nice today,English
hey Tutakutana kesho,Swahili
Leo ni siku nzuri,Swahili
bro Uko aje buda man,Sheng
yo Habari yako rafiki man,Swahili
I am going home bro,English
man He is my friend bro,English
yo Nakhubona khulayi bro,Luhya
He is my friend,English
yo Leo ni siku nzuri bro,Swahili
man Hii manzi ni fiti boss,Sheng
bro Khuli omundu mulayi man,Luhya
The weather is nice today boss,English
Niko rada leo man,Sheng
hey I am going home,English
man Wacha tuende base,Sheng
Nimechill na boys,Sheng
yo Tuko street vibaya bro,Sheng
hey Niko soko leo boss,Swahili
Nimechill na boys man,Sheng
hey Wabula shani boss,Luhya
man Tuko street vibaya boss,Sheng
man Habari yako rafiki boss,Swahili
bro Hii life ni tricky,Sheng
man Tutakutana kesho man,Swahili
hey Basi manze relax man,Sheng
yo Tuko street vibaya boss,Sheng
yo He is my friend boss,English
Tuko street vibaya bro,Sheng
yo Ndi khwitsa eshikulu,Luhya
hey He is my friend bro,English
Ninakupenda sana bro,Swahili
I am going home bro,English
yo Nimechill na boys man,Sheng
bro Leo ni siku nzuri,Swahili
bro The weather is nice today,English
man Khuli omundu mulayi boss,Luhya
bro Niko rada leo,Sheng
The weather is nice today bro,English
yo Hii life ni tricky,Sheng
yo Niko soko leo,Swahili
yo Ndi khwitsa eshikulu bro,Luhya
bro Niko soko leo,Swahili
yo Hii life ni tricky man,Sheng
man Khuli omundu mulayi boss,Luhya
yo Nakhubona khulayi man,Luhya
bro Olaba otya,Luhya
man This is a good day man,English
Hii life ni tricky bro,Sheng
bro Ninakupenda sana boss,Swahili
We are learning NLP bro,English
hey Olaba otya,Luhya
bro Nakhubona khulayi,Luhya
Khukhala bulayi bro,Luhya
hey Niko rada leo bro,Sheng
Naenda nyumbani man,Swahili
hey Ndi khwitsa eshikulu,Luhya
Uko aje buda bro,Sheng
bro She likes reading books,English
yo Basi manze relax,Sheng
hey Basi manze relax man,Sheng
man Leo ni siku nzuri,Swahili
man Niko soko leo,Swahili
man He is my friend man,English
hey Habari yako rafiki,Swahili
He is my friend boss,English
Hii life ni tricky bro,Sheng
hey Habari yako rafiki,Swahili
man Nimechoka leo boss,Swahili
hey Ndi khwitsa eshikulu boss,Luhya
Niko soko leo,Swahili
man She likes reading books,English
yo This is a good day boss,English
Nimechoka leo man,Swahili
Basi manze relax bro,Sheng
yo Hii manzi ni fiti,Sheng
yo Hii life ni tricky man,Sheng
Leo ni siku nzuri,Swahili
yo Ndi khwitsa eshikulu boss,Luhya
man Let us meet tomorrow,English
yo Nimechoka leo,Swahili
yo Ndi khwitsa eshikulu,Luhya
hey Naenda nyumbani boss,Swahili
yo Wabula shani man,Luhya
yo Olaba otya bro,Luhya
I love programming boss,English
hey Olaba otya,Luhya
hey Hii manzi ni fiti,Sheng
Nimechill na boys man,Sheng
hey Hii manzi ni fiti man,Sheng
hey Wabula shani,Luhya
man Nakhubona khulayi boss,Luhya
We are learning NLP man,English
yo He is my friend,English
The weather is nice today boss,English
man Wacha tuende base boss,Sheng
hey Wabula shani,Luhya
Khukhala bulayi man,Luhya
I love programming boss,English
Ndi khwitsa eshikulu man,Luhya
bro I am going home bro,English
hey Wacha tuende base,Sheng
Niko rada leo,Sheng
yo Hii life ni tricky,Sheng
yo Basi manze relax,Sheng
yo Khuli omundu mulayi boss,Luhya
man Tuko street vibaya boss,Sheng
yo He is my friend man,English
Olaba otya boss,Luhya
Ninakupenda sana boss,Swahili
man He is my friend boss,English
yo Nimechill na boys,Sheng
yo Tutakutana kesho,Swahili
man Tutakutana kesho boss,Swahili
yo Nakhubona khulayi bro,Luhya
bro Hii manzi ni fiti boss,Sheng
bro He is my friend man,English
man Nahitaji msaada wako,Swahili
hey The weather is nice today boss,English
hey Niko rada leo boss,Sheng
bro Nimechill na boys man,Sheng
man Hii life ni tricky man,Sheng
Olaba otya boss,Luhya
man I am going home,English
man Ndi khwitsa eshikulu boss,Luhya
bro Ndi khwitsa eshikulu man,Luhya
hey Ndi khwitsa eshikulu,Luhya
yo Ninakupenda sana man,Swahili
Khuli omundu mulayi bro,Luhya
Wabula shani,Luhya
Basi manze relax boss,Sheng
hey We are learning NLP,English
hey Nakhubona khulayi boss,Luhya
hey Khukhala bulayi,Luhya
yo Khuli omundu mulayi bro,Luhya
hey Habari yako rafiki bro,Swahili
bro I love programming man,English
hey Khuli omundu mulayi boss,Luhya
hey Tutakutana kesho bro,Swahili
Khukhala bulayi,Luhya
man Nimechoka leo bro,Swahili
yo The weather is nice today,English
bro Nahitaji msaada wako boss,Swahili
man Habari yako rafiki boss,Swahili
bro Nakhubona khulayi bro,Luhya
yo Uko aje buda boss,Sheng
yo Nimechill na boys man,Sheng
hey We are learning NLP,English
Nahitaji msaada wako boss,Swahili
bro He is my friend boss,English
hey Nimechoka leo,Swahili
